#SampleID	Dataset	FullName	Site	Condition
EAU-C-pool	1	EAU-C-pool	EAU-C-pool	EAU-C-pool
EAU-NC-pool	2	EAU-NC-pool	EAU-NC-pool	EAU-NC-pool
PE-Nenouire-NC-15	3	PE-Nenouire-NC-15	Nenouire	Nenouire
PE-Nenouire-NC-23	4	PE-Nenouire-NC-23	Nenouire	Nenouire
PE-Nenouire-NC-28	5	PE-Nenouire-NC-28	Nenouire	Nenouire
PE-Temoin-pool	6	PE-Temoin-pool	Temoin	Temoin
PE-Tontouta-C-10	7	PE-Tontouta-C-10	Tontouta	Tontouta
PE-Tontouta-C-3	8	PE-Tontouta-C-3	Tontouta	Tontouta
PE-Tontouta-C-47	9	PE-Tontouta-C-47	Tontouta	Tontouta
PET-Nenouire-NC-12	10	PET-Nenouire-NC-12	Nenouire	Nenouire
PET-Nenouire-NC-16	11	PET-Nenouire-NC-16	Nenouire	Nenouire
PET-Nenouire-NC-17	12	PET-Nenouire-NC-17	Nenouire	Nenouire
PET-Nenouire-NC-18	13	PET-Nenouire-NC-18	Nenouire	Nenouire
PET-Nenouire-NC-19	14	PET-Nenouire-NC-19	Nenouire	Nenouire
PET-Nenouire-NC-20	15	PET-Nenouire-NC-20	Nenouire	Nenouire
PET-Temoin-pool	16	PET-Temoin-pool	Temoin	Temoin
PET-Tontouta-C-1	17	PET-Tontouta-C-1	Tontouta	Tontouta
PET-Tontouta-C-2	18	PET-Tontouta-C-2	Tontouta	Tontouta
PET-Tontouta-C-4	19	PET-Tontouta-C-4	Tontouta	Tontouta
PET-Tontouta-C-6	20	PET-Tontouta-C-6	Tontouta	Tontouta
SED-C-pool	21	SED-C-pool	SED-C-pool	SED-C-pool
SED-NC-pool	22	SED-NC-pool	SED-NC-pool	SED-NC-pool
SED-TANNE-C	23	SED-TANNE-C	SED-TANNE-C	SED-TANNE-C
